20150331,546.4996,553.1912,545.2231,548.4941,1588000
20150401,541.0745,549.6310,538.0229,547.0980,1963000
20150402,534.0637,539.3691,532.3853,539.3691,1716300
20150406,535.2953,536.9359,528.1201,530.7628,1324400
20150407,535.5496,541.2041,534.5325,536.6068,1302800
20150408,540.1271,542.3610,536.9059,536.9059,1178500
20150409,539.2994,540.4661,534.0239,539.5486,1557800
20150410,538.5314,540.8052,535.8389,540.8052,1409400
20150413,537.6938,542.5704,535.8389,536.9359,1645300
20150414,528.9378,536.0981,526.6461,534.7817,2604100
20150415,531.0720,533.2659,521.7874,527.2524,2318800
20150416,532.3384,534.1235,528.1599,528.4492,1299800
20150417,522.6152,528.3893,519.5835,527.2125,2151800
20150420,533.9141,534.6222,523.0639,524.1609,1679200
20150421,532.5080,537.9131,532.2138,536.0383,1844700
20150422,537.8882,539.5985,530.2941,532.9368,1593500
20150423,545.5023,549.4515,538.7509,539.5187,4184800
20150424,563.5129,569.5762,555.7242,564.5500,4932500
20150427,555.3700,565.9500,553.2000,563.3900,2398000
20150428,553.6800,556.0200,550.3660,554.6400,1491000
20150429,549.0800,553.6800,546.9050,550.4700,1698800
20150430,537.3400,548.5900,535.0500,547.8700,2082200
20150501,537.9000,539.5400,532.1000,538.4300,1768200
20150504,540.7800,544.0700,535.0600,538.5300,1308000
20150505,530.8000,539.7400,530.3910,538.2100,1383100
20150506,524.2200,532.3800,521.0850,531.2400,1567000
20150507,530.7000,533.4600,521.7500,523.9900,1546300
20150508,538.2200,541.1500,525.0000,536.6500,1527600
20150511,535.7000,541.9800,535.4000,538.3700,905300
20150512,529.0400,533.2090,525.2600,531.6000,1634200
20150513,529.6200,534.3220,528.6550,530.5600,1252300
20150514,538.4000,539.0000,532.4100,533.7700,1403900
20150515,533.8500,539.2740,530.3800,539.1800,1971300
20150518,532.3000,534.8200,528.8500,532.0100,2003400
20150519,537.3600,540.6600,533.0400,533.9800,1966900
20150520,539.2700,542.9200,532.9720,538.4900,1430800
20150521,542.5100,543.8400,535.9800,537.9500,1462700
20150522,540.1100,544.1900,539.5100,540.1500,1176200
20150526,532.3200,539.0000,529.8800,538.1200,2406500
20150527,539.7900,540.5500,531.7100,532.8000,1525000
20150528,539.7800,540.6100,536.2500,538.0100,1029800
20150529,532.1100,538.6300,531.4500,537.3700,2597400
20150601,533.9900,536.7900,529.7600,536.7900,1904300
20150602,539.1800,543.0000,531.3300,532.9300,1939000
20150603,540.3100,543.5000,537.1100,539.9100,1714500
20150604,536.7000,540.5900,534.3200,537.7600,1348300
20150605,533.3300,537.2000,532.5200,536.3500,1388200
20150608,526.8300,534.1200,526.2400,533.3100,1520600
20150609,526.6900,529.2000,523.0100,527.5600,1455300
